organization,part_id,count
org_50,id_11,32
org_50,id_311,32
org_50,id_313,32
org_51,id_11,19
org_51,id_130,19
org_51,id_131,19
org_51,id_133,19
org_51,id_8,19
org_52,id_188,28
org_52,id_189,28
org_52,id_190,28
org_52,id_191,28
org_52,id_192,28
org_53,id_11,21
org_53,id_344,21
org_53,id_345,21
org_53,id_346,21
org_53,id_348,21
org_53,id_8,21
org_54,id_11,19
org_54,id_410,19
org_54,id_411,19
org_54,id_413,19
org_54,id_414,19
org_54,id_415,19
org_54,id_8,19
org_55,id_11,10
org_55,id_431,10
org_55,id_432,10
org_55,id_433,10
org_55,id_434,10
org_55,id_435,10
org_55,id_436,10
org_55,id_8,10
org_56,id_194,12
org_56,id_195,12
org_56,id_197,12
org_56,id_199,12
org_56,id_200,12
org_6,id_62,359
org_6,id_87,359
org_6,id_88,359
org_6,id_89,359
org_6,id_91,359
org_6,id_92,359
org_7,id_11,401
org_7,id_59,401
org_7,id_629,401
org_7,id_630,401
org_7,id_631,401
org_7,id_632,401
org_7,id_633,401
org_7,id_634,401
org_7,id_8,401
org_8,id_11,372
org_8,id_675,372
org_8,id_676,372
org_8,id_677,372
org_8,id_678,372
org_8,id_679,372
org_9,id_11,253
org_9,id_326,253
org_9,id_59,253
org_9,id_597,253
org_9,id_598,253
org_9,id_599,253
